# International Personality Item Pool (IPIP) — item-assignment table
#
# Source:      TedoneItemAssignmentTable30APR21.xlsx
#              https://ipip.ori.org/newMultipleconstructs.htm
# Provider:    International Personality Item Pool (https://ipip.ori.org),
#              Oregon Research Institute.
# License:     Public domain. IPIP items and scales are provided without
#              copyright restriction; no permission is required to use them.
#              Please credit the IPIP and the Oregon Research Institute.
#
# Normalization applied when converting the source .xlsx to this file:
#   - the single sheet ("data_nodupes") is emitted verbatim, column for column
#     (instrument, alpha, key, text, label); no rows are dropped or rewritten;
#   - 200 trailing all-blank spreadsheet rows are omitted;
#   - rows are sorted by (label, instrument, text) so the file diffs stably.
#
# Shape: 3805 assignments, 1961 unique items, 246 labels, 36 instruments.
#
# Four quirks of the source data that consumers must handle (see items.go):
#   - `alpha` is occasionally a comma-separated list ("0.59,0.63") where an item
#     is assigned via more than one scale; 278 rows are of this form.
#   - `alpha` is "." on 32 rows, all from the IPIP-IPC instrument, where the
#     source reports no reliability for the scale.
#   - `alpha` is out of range on 26 rows: 16 BIS_BAS rows read "1994" (the
#     Carver & White citation year) and 10 MPQ rows read "12" (an item count).
#     Cronbach's alpha cannot exceed 1, so these are slips in the source table
#     and are treated as "no reported reliability".
#   - `key` is 0 (rather than +1/-1) on 39 rows, all from the VIA instrument,
#     where the source leaves the keying direction undetermined.
#
# These are preserved verbatim rather than corrected: this file is a faithful
# copy of the published table, and the interpretation lives in the loader.
#
# Lines beginning with '#' are comments and are skipped by the loader.
instrument,alpha,key,text,label
NEO,0.88,1,Lose my temper.,Anger
NEO,0.88,-1,Rarely complain.,Anger
NEO,0.88,-1,Seldom get mad.,Anger
CAT-PD,"0.84,0.89",-1,Am an energetic person.,Anhedonia
CAT-PD,"0.84,0.89",1,Am not a joyful person.,Anhedonia
CAT-PD,"0.84,0.89",1,Feel that nothing seems to make me feel good.,Anhedonia
CAT-PD,"0.84,0.89",1,Find nothing excites me.,Anhedonia
CAT-PD,"0.84,0.89",-1,Have a lot of fun.,Anhedonia
CAT-PD,"0.84,0.89",1,Have trouble getting interested in things.,Anhedonia
16PF,0.8,1,Am afraid that I will do the wrong thing.,Anxiety
16PF,0.8,1,Am easily hurt.,Anxiety
16PF,0.8,-1,Am not easily bothered by things.,Anxiety
16PF,0.8,-1,Don't let others discourage me.,Anxiety
16PF,0.8,-1,Don't worry about things that have already happened.,Anxiety
16PF,0.8,1,Feel crushed by setbacks.,Anxiety
16PF,0.8,1,"Feel guilty when I say ""no.""",Anxiety
16PF,0.8,1,Feel threatened easily.,Anxiety
16PF,0.8,1,Spend time thinking about past mistakes.,Anxiety
16PF,0.8,1,Worry about things.,Anxiety
BFAS,0.84,1,Am afraid of many things.,Anxiety
BFAS,0.84,1,Am easily discouraged.,Anxiety
BFAS,0.84,1,Am filled with doubts about things.,Anxiety
BFAS,0.84,-1,Am not embarrassed easily.,Anxiety
BFAS,0.84,1,Become overwhelmed by events.,Anxiety
BFAS,0.84,-1,Feel comfortable with myself.,Anxiety
BFAS,0.84,-1,Rarely feel depressed.,Anxiety
BFAS,0.84,-1,Seldom feel blue.,Anxiety
BIS_BAS,1994,1,Am always worried about something.,Anxiety
BIS_BAS,1994,1,Begin to panic when there is danger.,Anxiety
BIS_BAS,1994,1,Get stressed out easily.,Anxiety
BIS_BAS,1994,1,Often worry about things that turn out to be unimportant.,Anxiety
BIS_BAS,1994,-1,Rarely worry.,Anxiety
BIS_BAS,1994,1,Worry about what people think of me.,Anxiety
CAT-PD,"0.83,0.85",1,Am easily startled.,Anxiety
CAT-PD,"0.83,0.85",1,Am generally a fearful person.,Anxiety
CAT-PD,"0.83,0.85",1,Am nervous or tense most of the time.,Anxiety
CAT-PD,"0.83,0.85",1,Feel my anxiety overwhelms me.,Anxiety
CAT-PD,"0.83,0.85",1,Feel that my worry and anxiety is out of control.,Anxiety
CAT-PD,"0.83,0.85",1,Panic easily.,Anxiety
HEXACO_PI,0.85,-1,Am not easily disturbed by events.,Anxiety
HEXACO_PI,0.85,1,Get upset by unpleasant thoughts that come into my mind.,Anxiety
HEXACO_PI,0.85,-1,Remain calm under pressure.,Anxiety
JPI,0.87,-1,Am not easily frustrated.,Anxiety
JPI,0.87,-1,Am relaxed most of the time.,Anxiety
JPI,0.87,1,Get upset easily.,Anxiety
JPI,0.87,1,Have frequent mood swings.,Anxiety
JPI,0.87,1,Often feel blue.,Anxiety
JPI,0.87,-1,Rarely get irritated.,Anxiety
NEO,0.83,-1,Adapt easily to new situations.,Anxiety
NEO,0.83,1,Fear for the worst.,Anxiety
NEO,0.83,1,Get caught up in my problems.,Anxiety
HPI-HIC,0.68,1,Believe appearances are important.,Appearance-Consciousness
HPI-HIC,0.68,-1,Don't care about dressing nicely.,Appearance-Consciousness
HPI-HIC,0.68,1,Keep myself well-groomed.,Appearance-Consciousness
HPI-HIC,0.68,-1,Pay no attention to my appearance.,Appearance-Consciousness
ORAIS,0.76,1,Bought a fashionable item of clothing.,Appearance-Consciousness
ORAIS,0.76,1,Read a fashion-related book.,Appearance-Consciousness
ORAIS,0.76,1,Read a fashion-related magazine.,Appearance-Consciousness
ORAIS,0.76,1,Spent more than 10 minutes thinking about what to wear.,Appearance-Consciousness
ORAIS,0.76,1,Spent more than an hour thinking about what to wear.,Appearance-Consciousness
16PF,0.81,1,Am not afraid of providing criticism.,Assertiveness
16PF,0.81,1,Can take strong measures.,Assertiveness
16PF,0.81,-1,Let myself be pushed around.,Assertiveness
16PF,0.81,-1,Let others make the decisions.,Assertiveness
16PF,0.81,-1,Never challenge things.,Assertiveness
16PF,0.81,1,Say what I think.,Assertiveness
16PF,0.81,1,Take charge.,Assertiveness
16PF,0.81,1,Take control of things.,Assertiveness
16PF,0.81,-1,Wait for others to lead the way.,Assertiveness
16PF,0.81,1,Want to be in charge.,Assertiveness
AB5C,0.75,1,Am always busy.,Assertiveness
AB5C,0.75,-1,Am not highly motivated to succeed.,Assertiveness
AB5C,0.75,1,Automatically take charge.,Assertiveness
AB5C,0.75,1,Can easily push myself forward.,Assertiveness
AB5C,0.75,1,Come up with a solution right away.,Assertiveness
AB5C,0.75,1,Do a lot in my spare time.,Assertiveness
AB5C,0.75,1,Know what I want.,Assertiveness
AB5C,0.75,-1,Need a lot of time to do things.,Assertiveness
AB5C,0.75,1,Stick up for myself.,Assertiveness
AB5C,0.75,1,Try to lead others.,Assertiveness
AB5C,0.75,1,Turn plans into actions.,Assertiveness
BFAS,0.85,1,Am the first to act.,Assertiveness
BFAS,0.85,1,Can talk others into doing things.,Assertiveness
BFAS,0.85,-1,Do not have an assertive personality.,Assertiveness
BFAS,0.85,1,Have a strong personality.,Assertiveness
BFAS,0.85,-1,Hold back my opinions.,Assertiveness
BFAS,0.85,1,Know how to captivate people.,Assertiveness
BFAS,0.85,-1,Lack the talent for influencing people.,Assertiveness
BFAS,0.85,1,See myself as a good leader.,Assertiveness
CPI,0.82,1,Am quick to correct others.,Assertiveness
CPI,0.82,1,Challenge others' points of view.,Assertiveness
CPI,0.82,1,Demand explanations from others.,Assertiveness
CPI,0.82,-1,Hate to seem pushy.,Assertiveness
CPI,0.82,1,Impose my will on others.,Assertiveness
CPI,0.82,1,Lay down the law to others.,Assertiveness
CPI,0.82,1,Put people under pressure.,Assertiveness
CPI,0.82,1,Try to outdo others.,Assertiveness
CPI,0.82,1,Try to surpass others' accomplishments.,Assertiveness
CPI,0.82,1,Want to control the conversation.,Assertiveness
MPQ,0.85,1,Am good at making impromptu speeches.,Assertiveness
MPQ,0.85,-1,Don't like to draw attention to myself.,Assertiveness
MPQ,0.85,-1,Find it difficult to manipulate others.,Assertiveness
MPQ,0.85,1,Have a natural talent for influencing people.,Assertiveness
MPQ,0.85,-1,Have little to say.,Assertiveness
MPQ,0.85,-1,Keep in the background.,Assertiveness
NEO,0.84,1,Seek to influence others.,Assertiveness
Barchard2001,"0.81,0.83",-1,Am not in touch with my feelings.,Attention to Emotions
Barchard2001,"0.81,0.83",1,Am usually aware of the way that I'm feeling.,Attention to Emotions
Barchard2001,"0.81,0.83",1,Notice my emotions.,Attention to Emotions
Barchard2001,"0.81,0.83",-1,Often ignore my feelings.,Attention to Emotions
Barchard2001,"0.81,0.83",1,Often stop to analyze how I'm feeling.,Attention to Emotions
Barchard2001,"0.81,0.83",1,Pay a lot of attention to my feelings.,Attention to Emotions
Barchard2001,"0.81,0.83",-1,Rarely analyze my emotions.,Attention to Emotions
Barchard2001,"0.81,0.83",-1,Rarely notice my emotional reactions.,Attention to Emotions
Barchard2001,"0.81,0.83",-1,Rarely think about how I feel.,Attention to Emotions
Barchard2001,"0.81,0.83",1,Think about the causes of my emotions.,Attention to Emotions
7FACTOR,0.66,-1,Am not highly motivated to succeed.,Attractiveness
7FACTOR,0.66,1,Believe that I am important.,Attractiveness
7FACTOR,0.66,-1,Don't care about dressing nicely.,Attractiveness
7FACTOR,0.66,-1,Don't like to get dressed up.,Attractiveness
7FACTOR,0.66,1,Get things done quickly.,Attractiveness
7FACTOR,0.66,1,Keep improving myself.,Attractiveness
7FACTOR,0.66,1,Keep myself well-groomed.,Attractiveness
7FACTOR,0.66,-1,Know that I am not a special person.,Attractiveness
7FACTOR,0.66,1,Like to tidy up.,Attractiveness
7FACTOR,0.66,-1,Pay no attention to my appearance.,Attractiveness
BIS_BAS,1994,1,Am afraid that I will do the wrong thing.,Behavioral Inhibition/Activation System
BIS_BAS,1994,1,Am always worried about something.,Behavioral Inhibition/Activation System
BIS_BAS,1994,1,Am easily hurt.,Behavioral Inhibition/Activation System
BIS_BAS,1994,-1,Am not embarrassed easily.,Behavioral Inhibition/Activation System
BIS_BAS,1994,1,Become overwhelmed by events.,Behavioral Inhibition/Activation System
BIS_BAS,1994,1,Begin to panic when there is danger.,Behavioral Inhibition/Activation System
BIS_BAS,1994,1,Get stressed out easily.,Behavioral Inhibition/Activation System
BIS_BAS,1994,1,Often worry about things that turn out to be unimportant.,Behavioral Inhibition/Activation System
BIS_BAS,1994,-1,Rarely worry.,Behavioral Inhibition/Activation System
BIS_BAS,1994,1,Worry about what people think of me.,Behavioral Inhibition/Activation System
MPQ,0.77,1,Cheat to get ahead.,Belligerence
MPQ,0.77,1,Do things out of revenge.,Belligerence
MPQ,0.77,1,Get back at others.,Belligerence
MPQ,0.77,1,Have a sharp tongue.,Belligerence
MPQ,0.77,1,Hold a grudge.,Belligerence
MPQ,0.77,-1,Rarely complain.,Belligerence
MPQ,0.77,-1,Rarely get irritated.,Belligerence
MPQ,0.77,-1,Seldom get mad.,Belligerence
MPQ,0.77,-1,Try to forgive and forget.,Belligerence
MPQ,0.77,-1,Would never take things that aren't mine.,Belligerence
VIA,0.75,1,Am a brave person.,Bravery/Courage/Valor
VIA,0.75,-1,Avoid dealing with awkward situations.,Bravery/Courage/Valor
VIA,0.75,-1,Avoid dealing with uncomfortable emotions.,Bravery/Courage/Valor
VIA,0.75,1,Call for action while others talk.,Bravery/Courage/Valor
VIA,0.75,1,Can face my fears.,Bravery/Courage/Valor
VIA,0.75,-1,Do not stand up for my beliefs.,Bravery/Courage/Valor
VIA,0.75,1,Don't hesitate to express an unpopular opinion.,Bravery/Courage/Valor
VIA,0.75,-1,Don't speak my mind freely when there might be negative results.,Bravery/Courage/Valor
VIA,0.75,0,Have overcome pain and disappointment.,Bravery/Courage/Valor
